"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"3371","Stephen Curry","Golden State Warriors","10/28/16",2016,3,3,57,"shot_yes","Jump Shot","3PT Field Goal",22,"New Orleans Pelicans",-228,-1,33
"3372","Stephen Curry","Golden State Warriors","2/23/17",2016,3,3,42,"shot_no","Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",163,205,33
"3373","Stephen Curry","Golden State Warriors","2/23/17",2016,3,2,19,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-192,165,34
"3374","Stephen Curry","Golden State Warriors","2/23/17",2016,3,11,28,"shot_no","Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",182,174,25
"3375","Stephen Curry","Golden State Warriors","1/4/17",2016,2,4,5,"shot_yes","Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",102,228,20
"3376","Stephen Curry","Golden State Warriors","11/18/16",2016,2,4,22,"shot_no","Jump Shot","3PT Field Goal",26,"Boston Celtics",-14,262,20
"3377","Stephen Curry","Golden State Warriors","1/4/17",2016,1,4,27,"shot_no","Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",63,239,8
"3378","Stephen Curry","Golden State Warriors","3/26/17",2016,4,4,57,"shot_yes","Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-19,247,44
"3379","Stephen Curry","Golden State Warriors","3/26/17",2016,1,4,36,"shot_no","Jump Shot","3PT Field Goal",26,"Memphis Grizzlies",-176,200,8
"3380","Stephen Curry","Golden State Warriors","2/11/17",2016,1,0,0,"shot_no","Jump Shot","3PT Field Goal",44,"Oklahoma City Thunder",64,439,12
"3381","Stephen Curry","Golden State Warriors","2/11/17",2016,3,2,9,"shot_no","Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",-20,61,34
"3382","Stephen Curry","Golden State Warriors","2/11/17",2016,3,0,0,"shot_no","Jump Shot","3PT Field Goal",45,"Oklahoma City Thunder",91,442,36
"3383","Stephen Curry","Golden State Warriors","2/11/17",2016,1,1,46,"shot_no","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",174,174,11
"3384","Stephen Curry","Golden State Warriors","2/11/17",2016,2,1,26,"shot_no","Jump Shot","3PT Field Goal",22,"Oklahoma City Thunder",225,31,23
"3385","Stephen Curry","Golden State Warriors","12/3/16",2016,3,3,5,"shot_no","Jump Shot","2PT Field Goal",8,"Phoenix Suns",-29,80,33
"3386","Stephen Curry","Golden State Warriors","12/3/16",2016,2,4,51,"shot_no","Jump Shot","3PT Field Goal",27,"Phoenix Suns",69,267,20
"3387","Stephen Curry","Golden State Warriors","12/3/16",2016,1,2,23,"shot_yes","Jump Shot","3PT Field Goal",25,"Phoenix Suns",-168,193,10
"3388","Stephen Curry","Golden State Warriors","12/3/16",2016,3,4,43,"shot_yes","Jump Shot","3PT Field Goal",25,"Phoenix Suns",-209,154,32
"3389","Stephen Curry","Golden State Warriors","12/3/16",2016,1,0,38,"shot_yes","Jump Shot","3PT Field Goal",23,"Phoenix Suns",-228,61,12
"3390","Stephen Curry","Golden State Warriors","12/3/16",2016,3,2,30,"shot_yes","Jump Shot","3PT Field Goal",26,"Phoenix Suns",115,237,34
